#,Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
33,2016-04-10,1,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istringstream (memory mapped),2.705,2.708,2.696,2.706,2.715,2.706,2.706,13.53
59,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istringstream (memory mapped),4.372,4.332,4.351,4.349,4.34,4.3488,4.349,21.744
20,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istringstream (memory mapped),4.757,4.765,4.752,4.751,4.776,4.7602,4.757,23.801
4,2016-04-10,1,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istrstream (memory mapped),0.681,0.704,0.695,0.823,0.867,0.754,0.704,3.77
70,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istrstream (memory mapped),2.245,2.237,2.246,2.225,2.253,2.2412,2.245,11.206
43,2016-04-10,1,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istrstream (memory mapped),2.735,2.609,2.601,2.611,2.604,2.632,2.609,13.16
30,2016-04-10,1,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istrstream (memory mapped),2.625,2.626,2.643,2.643,2.63,2.6334,2.63,13.167
56,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istrstream (memory mapped),4.497,4.397,4.309,4.333,4.292,4.3656,4.333,21.828
17,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),Read through,std::istrstream (memory mapped),4.876,4.863,4.852,4.869,4.899,4.8718,4.869,24.359
13,2016-04-10,1,MinGW_4.8.0,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,"TableCsv<char,uint32>",Read&Store,N/A,3.621,3.65,3.64,3.643,3.624,3.6356,3.64,18.178
80,2016-04-10,1,MSVC_2015_u1,8,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,"TableCsv<char,uint32>",Read&Store,N/A,4.657,4.691,4.762,4.773,4.737,4.724,4.737,23.62
66,2016-04-10,1,MSVC_2015_u1,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,"TableCsv<char,uint32>",Read&Store,N/A,5.496,5.453,5.469,5.46,5.452,5.466,5.46,27.33
39,2016-04-10,1,MSVC_2012,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,"TableCsv<char,uint32>",Read&Store,N/A,6.291,6.239,6.196,6.565,6.229,6.304,6.239,31.52
52,2016-04-10,1,MSVC_2013,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,"TableCsv<char,uint32>",Read&Store,N/A,6.37,6.302,6.266,6.253,6.466,6.3314,6.302,31.657
26,2016-04-10,1,MSVC_2010,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,"TableCsv<char,uint32>",Read&Store,N/A,6.271,6.294,6.418,6.64,6.31,6.3866,6.31,31.933
