Date,Test machine,Compiler,Pointer size,Build type,File,Reader,Format definition,Processing type,Stream type,time#1,time#2,time#3,time#4,time#5,time_avg,time_median,time_sum
-----,-----,-----,-----,-----,Optimized BarebonesParsingImplementations::eolChecker,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-10-14,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,dfg::io::BasicImStream (memory mapped),0.220947,0.207298,0.210114,0.208881,0.208722,0.211192,0.208881,1.05596
2017-10-14,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.63738,0.634644,0.641254,0.648423,0.634745,0.639289,0.63738,3.19645
2017-10-14,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.197925,0.19733,0.194948,0.191913,0.196704,0.195764,0.196704,0.978819
2017-10-14,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.26972,1.29608,1.27024,1.28107,1.27862,1.27915,1.27862,6.39573
2017-10-14,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.765827,0.807995,0.791655,0.762021,0.766195,0.778739,0.766195,3.89369
2017-10-14,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.397982,0.39598,0.402653,0.386106,0.391685,0.394881,0.39598,1.97441
2017-10-14,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.308785,0.308869,0.315986,0.312715,0.308472,0.310966,0.308869,1.55483
2017-10-14,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.6725,0.685023,0.670079,0.669922,0.6834,0.676184,0.6725,3.38092
-----,-----,-----,-----,-----,BarebonesReader now has a completely separate read implementation.,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through with get(),dfg::io::BasicImStream (memory mapped),0.223037,0.212073,0.2132,0.213236,0.211319,0.214573,0.2132,1.07287
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through with io::getThrough() and lambda,dfg::io::BasicImStream (memory mapped),0.0328389,0.0338373,0.034273,0.0318663,0.0328046,0.033124,0.0328389,0.16562
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through with io::getThrough() and functor,dfg::io::BasicImStream (memory mapped),0.0318554,0.0317506,0.0338175,0.0321799,0.0320734,0.0323354,0.0320734,0.161677
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.602255,0.603613,0.598357,0.606094,0.601851,0.602434,0.602255,3.01217
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderNone,dfg::io::BasicImStream (memory mapped),0.194858,0.196304,0.196723,0.197424,0.196278,0.196317,0.196304,0.981586
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),1.25688,1.25255,1.25457,1.2588,1.25285,1.25513,1.25457,6.27565
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderDefault,dfg::io::BasicImStream (memory mapped),0.753945,0.757366,0.763656,0.76308,0.759645,0.759539,0.759645,3.79769
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,DelimitedTextReader_basic,,CharAppenderStringViewCBuffer,dfg::io::BasicImStream (memory mapped),0.103326,0.10449,0.103542,0.101834,0.10407,0.103452,0.103542,0.517261
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = const char*",N/A,0.324833,0.327076,0.316179,0.330942,0.332112,0.326228,0.327076,1.63114
2017-10-22,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,fast-cpp-csv-parser 2017-02-17,,"Parse only, read type = std::string",N/A,0.670099,0.668474,0.681032,0.660876,0.655823,0.667261,0.668474,3.3363
-----,-----,-----,-----,-----,No changes (i.e. only new runs),-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----
2017-10-27,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,std::ifstream,5.83819,5.8516,5.85109,5.86813,5.84505,5.85081,5.85109,29.2541
2017-10-27,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,std::istrstream (memory mapped),4.36233,4.36964,4.44409,4.64022,4.37043,4.43734,4.37043,22.1867
2017-10-27,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through,std::istringstream (memory mapped),4.24364,4.21562,4.18043,4.24514,4.2388,4.22472,4.2388,21.1236
2017-10-27,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through with get(),dfg::io::BasicImStream (memory mapped),0.205285,0.206512,0.210107,0.208012,0.219016,0.209786,0.208012,1.04893
2017-10-27,,MSVC_2015_u3,4,release,testfiles/generated/generatedCsv_r4000000_c7_constant_content_abc_test.csv,readOne(),,Read through with io::getThrough() and lambda,dfg::io::BasicImStream (memory mapped),0.0344684,0.0336381,0.0325236,0.0319969,0.0320529,0.032936,0.0325236,0.16468
